연번,호선,고유역번호(외부역코드),역명,승하차구분,수송연월,승하차인원수
186,3,342,오금,하차,2022-01,3055
187,4,409,당고개,승차,2022-01,12081
188,4,409,당고개,하차,2022-01,11519
189,4,410,상계,승차,2022-01,17532
190,4,410,상계,하차,2022-01,16856
191,4,411,노원,승차,2022-01,14013
192,4,411,노원,하차,2022-01,14004
193,4,412,창동,승차,2022-01,23750
194,4,412,창동,하차,2022-01,23812
195,4,413,쌍문,승차,2022-01,19740
196,4,413,쌍문,하차,2022-01,18828
197,4,414,수유(강북구청),승차,2022-01,27831
198,4,414,수유(강북구청),하차,2022-01,27892
199,4,415,미아(서울사이버대학),승차,2022-01,14902
200,4,415,미아(서울사이버대학),하차,2022-01,14799
201,4,416,미아사거리,승차,2022-01,24527
202,4,416,미아사거리,하차,2022-01,23420
203,4,417,길음,승차,2022-01,12927
204,4,417,길음,하차,2022-01,12825
205,4,418,성신여대입구(돈암),승차,2022-01,10646
206,4,418,성신여대입구(돈암),하차,2022-01,10270
207,4,419,한성대입구(삼선교),승차,2022-01,7866
208,4,419,한성대입구(삼선교),하차,2022-01,7386
209,4,420,혜화,승차,2022-01,21237
210,4,420,혜화,하차,2022-01,19946
211,4,421,동대문,승차,2022-01,16478
212,4,421,동대문,하차,2022-01,16684
213,4,422,동대문역사문화공원(DDP),승차,2022-01,8013
214,4,422,동대문역사문화공원(DDP),하차,2022-01,7170
215,4,423,충무로,승차,2022-01,15527
216,4,423,충무로,하차,2022-01,15581
217,4,424,명동,승차,2022-01,8384
218,4,424,명동,하차,2022-01,8415
219,4,425,회현(남대문시장),승차,2022-01,15354
220,4,425,회현(남대문시장),하차,2022-01,15550
221,4,426,서울역,승차,2022-01,6232
222,4,426,서울역,하차,2022-01,7673
223,4,427,숙대입구(갈월),승차,2022-01,7970
224,4,427,숙대입구(갈월),하차,2022-01,7500
225,4,428,삼각지,승차,2022-01,3256
226,4,428,삼각지,하차,2022-01,3247
227,4,429,신용산,승차,2022-01,8064
228,4,429,신용산,하차,2022-01,8187
229,4,430,이촌(국립중앙박물관),승차,2022-01,3712
230,4,430,이촌(국립중앙박물관),하차,2022-01,3585
231,4,431,동작(현충원),승차,2022-01,1242
232,4,431,동작(현충원),하차,2022-01,1232
233,4,432,총신대입구(이수),승차,2022-01,12493
234,4,432,총신대입구(이수),하차,2022-01,12775
235,4,433,사당,승차,2022-01,8848
236,4,433,사당,하차,2022-01,9192
237,4,434,남태령,승차,2022-01,784
238,4,434,남태령,하차,2022-01,722
239,5,2511,방화,승차,2022-01,7878
240,5,2511,방화,하차,2022-01,7385
241,5,2512,개화산,승차,2022-01,6388
242,5,2512,개화산,하차,2022-01,5963
243,5,2513,김포공항,승차,2022-01,5868
244,5,2513,김포공항,하차,2022-01,5740
245,5,2514,송정,승차,2022-01,6273
246,5,2514,송정,하차,2022-01,5726
247,5,2515,마곡,승차,2022-01,6786
248,5,2515,마곡,하차,2022-01,6494
249,5,2516,발산,승차,2022-01,14786
250,5,2516,발산,하차,2022-01,14143
251,5,2517,우장산,승차,2022-01,9444
252,5,2517,우장산,하차,2022-01,9758
253,5,2518,화곡,승차,2022-01,20054
254,5,2518,화곡,하차,2022-01,18926
255,5,2519,까치산,승차,2022-01,21127
256,5,2519,까치산,하차,2022-01,21088
257,5,2520,신정(은행정),승차,2022-01,9374
258,5,2520,신정(은행정),하차,2022-01,8536
259,5,2521,목동,승차,2022-01,10150
260,5,2521,목동,하차,2022-01,10227
261,5,2522,오목교(목동운동장앞),승차,2022-01,11025
262,5,2522,오목교(목동운동장앞),하차,2022-01,10768
263,5,2523,양평,승차,2022-01,4440
264,5,2523,양평,하차,2022-01,4518
265,5,2524,영등포구청,승차,2022-01,2995
266,5,2524,영등포구청,하차,2022-01,2957
267,5,2525,영등포시장,승차,2022-01,8325
268,5,2525,영등포시장,하차,2022-01,8150
269,5,2526,신길,승차,2022-01,1742
270,5,2526,신길,하차,2022-01,1810
271,5,2527,여의도,승차,2022-01,9004
272,5,2527,여의도,하차,2022-01,8661
273,5,2528,여의나루,승차,2022-01,3542
274,5,2528,여의나루,하차,2022-01,3632
275,5,2529,마포,승차,2022-01,6739
276,5,2529,마포,하차,2022-01,7000
277,5,2530,공덕,승차,2022-01,5812
278,5,2530,공덕,하차,2022-01,5609
279,5,2531,애오개,승차,2022-01,4841
280,5,2531,애오개,하차,2022-01,4570
281,5,2532,충정로(경기대입구),승차,2022-01,2049
282,5,2532,충정로(경기대입구),하차,2022-01,1918
283,5,2533,서대문,승차,2022-01,9015
284,5,2533,서대문,하차,2022-01,8658
285,5,2534,광화문(세종문화회관),승차,2022-01,11495
286,5,2534,광화문(세종문화회관),하차,2022-01,11383
287,5,2535,종로3가,승차,2022-01,9448
288,5,2535,종로3가,하차,2022-01,9706
289,5,2536,을지로4가,승차,2022-01,4400
290,5,2536,을지로4가,하차,2022-01,4485
291,5,2537,동대문역사문화공원(DDP),승차,2022-01,1172
292,5,2537,동대문역사문화공원(DDP),하차,2022-01,1298
293,5,2538,청구,승차,2022-01,3321
294,5,2538,청구,하차,2022-01,2303
295,5,2539,신금호,승차,2022-01,4833
296,5,2539,신금호,하차,2022-01,5161
297,5,2540,행당,승차,2022-01,5971
298,5,2540,행당,하차,2022-01,5190
299,5,2541,왕십리(성동구청),승차,2022-01,3898
300,5,2541,왕십리(성동구청),하차,2022-01,3647
301,5,2542,마장,승차,2022-01,5381
302,5,2542,마장,하차,2022-01,5346
303,5,2543,답십리,승차,2022-01,10804
304,5,2543,답십리,하차,2022-01,10550
305,5,2544,장한평,승차,2022-01,12792
306,5,2544,장한평,하차,2022-01,12418
307,5,2545,군자(능동),승차,2022-01,6800
308,5,2545,군자(능동),하차,2022-01,7261
309,5,2546,아차산(어린이대공원후문),승차,2022-01,12568
310,5,2546,아차산(어린이대공원후문),하차,2022-01,11994
311,5,2547,광나루(장신대),승차,2022-01,6859
312,5,2547,광나루(장신대),하차,2022-01,6284
313,5,2548,천호(풍납토성),승차,2022-01,14842
314,5,2548,천호(풍납토성),하차,2022-01,14317
315,5,2549,강동,승차,2022-01,13107
316,5,2549,강동,하차,2022-01,12482
317,5,2550,길동,승차,2022-01,8348
318,5,2550,길동,하차,2022-01,8571
319,5,2551,굽은다리(강동구민회관앞),승차,2022-01,8706
320,5,2551,굽은다리(강동구민회관앞),하차,2022-01,7979
321,5,2552,명일,승차,2022-01,7169
322,5,2552,명일,하차,2022-01,7020
323,5,2553,고덕,승차,2022-01,6872
324,5,2553,고덕,하차,2022-01,6614
325,5,2554,상일동,승차,2022-01,9577
326,5,2554,상일동,하차,2022-01,9007
327,5,2555,둔촌동,승차,2022-01,6888
328,5,2555,둔촌동,하차,2022-01,6623
329,5,2556,올림픽공원(한국체대),승차,2022-01,2642
330,5,2556,올림픽공원(한국체대),하차,2022-01,2460
331,5,2557,방이,승차,2022-01,4154
332,5,2557,방이,하차,2022-01,4023
333,5,2558,오금,승차,2022-01,2469
334,5,2558,오금,하차,2022-01,2384
335,5,2559,개롱,승차,2022-01,5686
336,5,2559,개롱,하차,2022-01,5578
337,5,2560,거여,승차,2022-01,8030
338,5,2560,거여,하차,2022-01,7665
339,5,2561,마천,승차,2022-01,7699
340,5,2561,마천,하차,2022-01,7598
341,5,2562,강일,승차,2022-01,3845
342,5,2562,강일,하차,2022-01,3657
343,5,2563,미사,승차,2022-01,8718
344,5,2563,미사,하차,2022-01,8594
345,5,2564,하남풍산,승차,2022-01,2993
346,5,2564,하남풍산,하차,2022-01,2996
347,5,2565,하남시청(덕풍·신장),승차,2022-01,6257
348,5,2565,하남시청(덕풍·신장),하차,2022-01,6251
349,5,2566,하남검단산,승차,2022-01,4178
350,5,2566,하남검단산,하차,2022-01,4140
351,6,2611,응암,승차,2022-01,15519
352,6,2611,응암,하차,2022-01,14951
353,6,2612,역촌,승차,2022-01,4163
354,6,2612,역촌,하차,2022-01,3909
355,6,2613,불광,승차,2022-01,4953
356,6,2613,불광,하차,2022-01,4002
357,6,2614,독바위,승차,2022-01,2308
358,6,2614,독바위,하차,2022-01,2513
359,6,2616,구산,승차,2022-01,6162
360,6,2616,구산,하차,2022-01,5961
361,6,2617,새절(신사),승차,2022-01,10613
362,6,2617,새절(신사),하차,2022-01,10131
363,6,2618,증산(명지대앞),승차,2022-01,9645
364,6,2618,증산(명지대앞),하차,2022-01,9417
365,6,2619,디지털미디어시티,승차,2022-01,7488
366,6,2619,디지털미디어시티,하차,2022-01,7731
367,6,2620,월드컵경기장(성산),승차,2022-01,4564
368,6,2620,월드컵경기장(성산),하차,2022-01,4246
369,6,2621,마포구청,승차,2022-01,13583
370,6,2621,마포구청,하차,2022-01,12171
371,6,2622,망원,승차,2022-01,9674
372,6,2622,망원,하차,2022-01,10194
373,6,2623,합정,승차,2022-01,5383
374,6,2623,합정,하차,2022-01,5126
375,6,2624,상수,승차,2022-01,2463
376,6,2624,상수,하차,2022-01,2502
377,6,2625,광흥창(서강),승차,2022-01,4673
378,6,2625,광흥창(서강),하차,2022-01,4429
379,6,2626,대흥(서강대앞),승차,2022-01,4915
380,6,2626,대흥(서강대앞),하차,2022-01,4824
381,6,2627,공덕,승차,2022-01,8710
382,6,2627,공덕,하차,2022-01,7854
383,6,2628,효창공원앞,승차,2022-01,4615
384,6,2628,효창공원앞,하차,2022-01,4207
385,6,2629,삼각지,승차,2022-01,2118
386,6,2629,삼각지,하차,2022-01,1881
387,6,2630,녹사평(용산구청),승차,2022-01,2120
388,6,2630,녹사평(용산구청),하차,2022-01,1935
389,6,2631,이태원,승차,2022-01,3767
390,6,2631,이태원,하차,2022-01,3846
391,6,2632,한강진,승차,2022-01,2569
392,6,2632,한강진,하차,2022-01,2573
393,6,2633,버티고개,승차,2022-01,923
394,6,2633,버티고개,하차,2022-01,1111
395,6,2634,약수,승차,2022-01,2408
396,6,2634,약수,하차,2022-01,2146
397,6,2635,청구,승차,2022-01,2517
398,6,2635,청구,하차,2022-01,3222
399,6,2636,신당,승차,2022-01,4892
400,6,2636,신당,하차,2022-01,4503
401,6,2637,동묘앞,승차,2022-01,9366
402,6,2637,동묘앞,하차,2022-01,8609
403,6,2638,창신,승차,2022-01,2306
404,6,2638,창신,하차,2022-01,2114
405,6,2639,보문,승차,2022-01,3940
406,6,2639,보문,하차,2022-01,3527
407,6,2640,안암(고대병원앞),승차,2022-01,5197
408,6,2640,안암(고대병원앞),하차,2022-01,4840
409,6,2641,고려대(종암),승차,2022-01,5014
410,6,2641,고려대(종암),하차,2022-01,4770
411,6,2642,월곡(동덕여대),승차,2022-01,8993
412,6,2642,월곡(동덕여대),하차,2022-01,8730
413,6,2643,상월곡(한국과학기술연구원),승차,2022-01,5567
414,6,2643,상월곡(한국과학기술연구원),하차,2022-01,5237
415,6,2644,돌곶이,승차,2022-01,7346
416,6,2644,돌곶이,하차,2022-01,6901
417,6,2645,석계,승차,2022-01,9797
418,6,2645,석계,하차,2022-01,9342
419,6,2646,태릉입구,승차,2022-01,4069
420,6,2646,태릉입구,하차,2022-01,4072
421,6,2647,화랑대(서울여대입구),승차,2022-01,6637
422,6,2647,화랑대(서울여대입구),하차,2022-01,5759
423,6,2648,봉화산(서울의료원),승차,2022-01,6266
424,6,2648,봉화산(서울의료원),하차,2022-01,6181
425,7,2711,장암,승차,2022-01,1296
426,7,2711,장암,하차,2022-01,855
427,7,2712,도봉산,승차,2022-01,5849
428,7,2712,도봉산,하차,2022-01,7743
429,7,2713,수락산,승차,2022-01,10969
430,7,2713,수락산,하차,2022-01,10716
431,7,2714,마들,승차,2022-01,10500
432,7,2714,마들,하차,2022-01,9983
433,7,2715,노원,승차,2022-01,17728
434,7,2715,노원,하차,2022-01,17420
435,7,2716,중계,승차,2022-01,16330
436,7,2716,중계,하차,2022-01,15086
437,7,2717,하계,승차,2022-01,15590
438,7,2717,하계,하차,2022-01,14446
439,7,2718,공릉(서울과학기술대),승차,2022-01,10232
440,7,2718,공릉(서울과학기술대),하차,2022-01,9904
441,7,2719,태릉입구,승차,2022-01,6402
442,7,2719,태릉입구,하차,2022-01,5580
443,7,2720,먹골,승차,2022-01,8949
444,7,2720,먹골,하차,2022-01,9045
445,7,2721,중화,승차,2022-01,9896
446,7,2721,중화,하차,2022-01,9514
447,7,2722,상봉(시외버스터미널),승차,2022-01,10618
448,7,2722,상봉(시외버스터미널),하차,2022-01,10156
449,7,2723,면목,승차,2022-01,13610
450,7,2723,면목,하차,2022-01,13484
451,7,2724,사가정,승차,2022-01,13097
452,7,2724,사가정,하차,2022-01,13175
453,7,2725,용마산(용마폭포공원),승차,2022-01,5705
454,7,2725,용마산(용마폭포공원),하차,2022-01,6180
455,7,2726,중곡,승차,2022-01,11387
456,7,2726,중곡,하차,2022-01,11151
457,7,2727,군자(능동),승차,2022-01,10588
458,7,2727,군자(능동),하차,2022-01,8922
459,7,2728,어린이대공원(세종대),승차,2022-01,6302
460,7,2728,어린이대공원(세종대),하차,2022-01,6026
461,7,2729,건대입구,승차,2022-01,8043
462,7,2729,건대입구,하차,2022-01,6972
463,7,2730,뚝섬유원지,승차,2022-01,4586
464,7,2730,뚝섬유원지,하차,2022-01,4473
465,7,2731,청담,승차,2022-01,6839
466,7,2731,청담,하차,2022-01,6591
467,7,2732,강남구청,승차,2022-01,5381
468,7,2732,강남구청,하차,2022-01,5590
469,7,2733,학동,승차,2022-01,7047
470,7,2733,학동,하차,2022-01,6850
471,7,2734,논현,승차,2022-01,6339
472,7,2734,논현,하차,2022-01,6321
473,7,2735,반포,승차,2022-01,2674
474,7,2735,반포,하차,2022-01,2488
475,7,2736,고속터미널,승차,2022-01,7886
476,7,2736,고속터미널,하차,2022-01,6897
477,7,2737,내방,승차,2022-01,6350
478,7,2737,내방,하차,2022-01,6353
479,7,2738,이수,승차,2022-01,8606
480,7,2738,이수,하차,2022-01,7869
481,7,2739,남성,승차,2022-01,7191
482,7,2739,남성,하차,2022-01,7184
483,7,2740,숭실대입구(살피재),승차,2022-01,6127
484,7,2740,숭실대입구(살피재),하차,2022-01,6389
485,7,2741,상도,승차,2022-01,6582
486,7,2741,상도,하차,2022-01,5979
487,7,2742,장승배기,승차,2022-01,7746
488,7,2742,장승배기,하차,2022-01,7477
489,7,2743,신대방삼거리,승차,2022-01,11172
490,7,2743,신대방삼거리,하차,2022-01,11177
491,7,2744,보라매,승차,2022-01,5997
492,7,2744,보라매,하차,2022-01,5886
493,7,2745,신풍,승차,2022-01,8610
494,7,2745,신풍,하차,2022-01,8265
495,7,2746,대림(구로구청),승차,2022-01,5326
496,7,2746,대림(구로구청),하차,2022-01,4886
497,7,2747,남구로,승차,2022-01,10095
498,7,2747,남구로,하차,2022-01,9786
499,7,2748,가산디지털단지,승차,2022-01,18905
500,7,2748,가산디지털단지,하차,2022-01,18073
501,7,2749,철산,승차,2022-01,13503
502,7,2749,철산,하차,2022-01,12975
503,7,2750,광명사거리,승차,2022-01,19314
504,7,2750,광명사거리,하차,2022-01,19554
505,7,2751,천왕,승차,2022-01,7817
506,7,2751,천왕,하차,2022-01,7776
507,7,2752,온수(성공회대입구),승차,2022-01,6481
508,7,2752,온수(성공회대입구),하차,2022-01,5906
509,8,2811,암사,승차,2022-01,13694
510,8,2811,암사,하차,2022-01,12917
511,8,2812,천호(풍납토성),승차,2022-01,10583
512,8,2812,천호(풍납토성),하차,2022-01,10820
513,8,2813,강동구청,승차,2022-01,7511
514,8,2813,강동구청,하차,2022-01,7451
515,8,2814,몽촌토성(평화의문),승차,2022-01,3227
516,8,2814,몽촌토성(평화의문),하차,2022-01,3262
517,8,2815,잠실(송파구청),승차,2022-01,9621
518,8,2815,잠실(송파구청),하차,2022-01,9025
519,8,2816,석촌,승차,2022-01,5630
520,8,2816,석촌,하차,2022-01,5774
521,8,2817,송파,승차,2022-01,4687
522,8,2817,송파,하차,2022-01,4721
523,8,2818,가락시장,승차,2022-01,6363
524,8,2818,가락시장,하차,2022-01,6465
525,8,2819,문정,승차,2022-01,8211
526,8,2819,문정,하차,2022-01,8079
527,8,2820,장지,승차,2022-01,11205
528,8,2820,장지,하차,2022-01,10670
529,8,2821,복정,승차,2022-01,6145
530,8,2821,복정,하차,2022-01,5744
531,8,2822,산성,승차,2022-01,3411
532,8,2822,산성,하차,2022-01,3702
533,8,2823,남한산성입구(성남법원.검찰청),승차,2022-01,11190
534,8,2823,남한산성입구(성남법원.검찰청),하차,2022-01,10684
535,8,2824,단대오거리,승차,2022-01,11046
536,8,2824,단대오거리,하차,2022-01,10558
537,8,2825,신흥,승차,2022-01,5804
538,8,2825,신흥,하차,2022-01,6482
539,8,2826,수진,승차,2022-01,6717
540,8,2826,수진,하차,2022-01,5989
541,8,2827,모란,승차,2022-01,7193
542,8,2827,모란,하차,2022-01,5284
543,8,2828,남위례,승차,2022-01,2263
544,8,2828,남위례,하차,2022-01,2304
545,1,150,서울역,승차,2022-02,26029
546,1,150,서울역,하차,2022-02,24372
547,1,151,시청,승차,2022-02,9436
548,1,151,시청,하차,2022-02,9260
549,1,152,종각,승차,2022-02,15369
550,1,152,종각,하차,2022-02,14258
551,1,153,종로3가,승차,2022-02,28533
552,1,153,종로3가,하차,2022-02,26717
553,1,154,종로5가,승차,2022-02,21990
554,1,154,종로5가,하차,2022-02,21203
555,1,155,동대문,승차,2022-02,13301
556,1,155,동대문,하차,2022-02,12997
557,1,156,신설동,승차,2022-02,13114
558,1,156,신설동,하차,2022-02,12458
559,1,157,제기동,승차,2022-02,21145
560,1,157,제기동,하차,2022-02,21706
561,1,158,청량리(서울시립대입구),승차,2022-02,24667
562,1,158,청량리(서울시립대입구),하차,2022-02,23919
563,1,159,동묘앞,승차,2022-02,17220
564,1,159,동묘앞,하차,2022-02,17309
565,2,201,시청,승차,2022-02,7076
566,2,201,시청,하차,2022-02,6425
567,2,202,을지로입구,승차,2022-02,12052
568,2,202,을지로입구,하차,2022-02,11847
569,2,203,을지로3가,승차,2022-02,8349
570,2,203,을지로3가,하차,2022-02,8085
571,2,204,을지로4가,승차,2022-02,7307
572,2,204,을지로4가,하차,2022-02,7166
573,2,205,동대문역사문화공원(DDP),승차,2022-02,6593
574,2,205,동대문역사문화공원(DDP),하차,2022-02,6591
575,2,206,신당,승차,2022-02,10116
576,2,206,신당,하차,2022-02,10437
577,2,207,상왕십리,승차,2022-02,8559
578,2,207,상왕십리,하차,2022-02,8328
579,2,208,왕십리(성동구청),승차,2022-02,7716
580,2,208,왕십리(성동구청),하차,2022-02,6264
581,2,209,한양대,승차,2022-02,1794
582,2,209,한양대,하차,2022-02,1875
583,2,210,뚝섬,승차,2022-02,8148
584,2,210,뚝섬,하차,2022-02,8203
585,2,211,성수,승차,2022-02,19785
586,2,211,성수,하차,2022-02,20068
587,2,212,건대입구,승차,2022-02,12019
588,2,212,건대입구,하차,2022-02,12918
589,2,213,구의(광진구청),승차,2022-02,12545
590,2,213,구의(광진구청),하차,2022-02,12210
591,2,214,강변(동서울터미널),승차,2022-02,11648
592,2,214,강변(동서울터미널),하차,2022-02,10743
593,2,215,잠실나루,승차,2022-02,7106
594,2,215,잠실나루,하차,2022-02,7021
595,2,216,잠실(송파구청),승차,2022-02,22273
596,2,216,잠실(송파구청),하차,2022-02,21017
597,2,217,잠실새내,승차,2022-02,8363
598,2,217,잠실새내,하차,2022-02,8341
599,2,218,종합운동장,승차,2022-02,3369
600,2,218,종합운동장,하차,2022-02,3349
601,2,219,삼성(무역센터),승차,2022-02,13288
602,2,219,삼성(무역센터),하차,2022-02,12818
